Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...)",Columbia school,Columbia Affiliates,Which Specific Columbia Program?,Source,Specific Study DOI,Notes,Author Full Names,Article Title,Source Title,Affiliations,Funding Text,ISSN
"National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); SDU-ZMDE Joint Laboratory for Environmental Protection and Energy Saving; Brook Byers Institute for Sustainable Systems, Hightower Chair; Georgia Research Alliance at the Georgia Institute of Technology; National Engineering Laboratory for Coal-Burning Pollutants Emission Reduction;",,2023,,,,,0,10.1016/j.apcatb.2023.122753,,"Wang, Bin; Yang, Qilei; Li, Bing; Ma, Hongyuan; Xuan, Yue; Gao, Chuan; Liang, Yanjie; Zhang, Kaihang; Chang, Qiaowan; Broesicke, Osvaldo; Wang, Houlin; Wang, Dong; Luan, Tao; Han, Kuihua; Lu, Chunmei; Crittenden, John",Heterostructure-strengthened metal-support interaction of single-atom Pd catalysts enabling efficient oxygen activation for CO and VOC oxidation,APPLIED CATALYSIS B-ENVIRONMENTAL,Shandong University; Tsinghua University; Columbia University; University System of Georgia; Georgia Institute of Technology; University System of Georgia; Georgia Institute of Technology; Washington State University,"This work was financially supported by the National Natural Science Foundation of China (22276111). The authors appreciate the support from the SDU-ZMDE Joint Laboratory for Environmental Protection and Energy Saving, the National Engineering Laboratory for Coal-Burning Pollutants Emission Reduction, and the Brook Byers Institute for Sustainable Systems, Hightower Chair and Georgia Research Alliance at the Georgia Institute of Technology. The views and ideas expressed herein are solely those of the authors and do not represent the opinions of the funding agencies in any form.",0926-3373
National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Key RAMP;D Program of Shaanxi Province; Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund; National Key RAMP;D Program of China; Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities); Innovation Capability Support Program of Shaanxi; K.C. Wong Education Foundation,,2020,,,,,0,10.1016/j.apsusc.2019.144290,,"Huang, Huang; Chen, Changwei; Yang, Rui; Yu, Yanke; Albilali, Reem; He, Chi",Remarkable promotion effect of lauric acid on Mn-MIL-100 for non-thermal plasma-catalytic decomposition of toluene,APPLIED SURFACE SCIENCE,"Xi'an Jiaotong University; Columbia University; Imam Abdulrahman Bin Faisal University; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS","This work was financially supported by the National Natural Science Foundation of China (21677114, 21876139, 21922606), the Key R&D Program of Shaanxi Province (2019SF-244, 2019ZDLSF05-0502), the Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund (2019JLM-14), the National Key R&D Program of China (2016YFC0204201), the Fundamental Research Funds for the Central Universities (xjj2017170), and the Innovation Capability Support Program of Shaanxi (2018PT-28, 2017KTPT-04). The authors gratefully acknowledge the support of K.C. Wong Education Foundation and also appreciate the editorand reviewersfortheir professional work and valuable comments.",0169-4332
National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Key R&D Program of Shaanxi Province; Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund; Initial Scientific Research Fund for Special Zone's Talents; Shaanxi Province Education Department; K.C. Wong Education Foundation; Xi'an Jiaotong University(Xi'an Jiaotong University),,2020,,,,,0,10.1016/j.apcatb.2019.118493,,"Feng, Xiangbo; Tian, Mingjiao; He, Chi; Li, Lu; Shi, Jian-Wen; Yu, Yanke; Cheng, Jie",Yolk-shell-like mesoporous CoCrOx with superior activity and chlorine resistance in dichloromethane destruction,APPLIED CATALYSIS B-ENVIRONMENTAL,"Xijing University; Xi'an Jiaotong University; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Xi'an Jiaotong University; Columbia University; Chongqing University of Science & Technology","This work was financially supported by the National Natural Science Foundation of China (21922606, 21677114, 21876139), the Key R&D Program of Shaanxi Province (2019SF-244, 2019ZDLSF05-05-02), the Shaanxi Natural Science Fundamental Shaanxi Coal Chemical Joint Fund (2019JLM-14), the Initial Scientific Research Fund for Special Zone's Talents (XJ18T06), and the Scientific Research Program Funded by Shaanxi Province Education Department (19JK0905). The authors gratefully acknowledge the support of K.C. Wong Education Foundation and instrumental analysis center of Xi'an Jiaotong University.",0926-3373
fund of Anhui University of Science and Technology; open fund of State Key Laboratory of Mining Response and Disaster Prevention and Control in Deep Coal Mines; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); National Statistical Science Research Foundation of China; Beijing Natural Science Foundation(Beijing Natural Science Foundation); National Nature Science Foundation of China(National Natural Science Foundation of China (NSFC)); Initiation Grant for Faculty Niche Research Areas; General Research Fund; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)),,2024,,,,,0,10.1080/10705511.2022.2148674,,"Zhou, Yuejin; Wang, Wenwu; Hu, Tao; Tong, Tiejun; Liu, Zhonghua",Causal Mediation Analysis for an Ordinal Outcome with Multiple Mediators,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,Anhui University of Science & Technology; Qufu Normal University; Capital Normal University; Hong Kong Baptist University; Columbia University; Qufu Normal University; Columbia University,"Yuejin Zhou's research was supported by the fund of Anhui University of Science and Technology (ZY514) and open fund of State Key Laboratory of Mining Response and Disaster Prevention and Control in Deep Coal Mines (SKLMRDPC22KF03). Wenwu Wang's research was supported by the National Natural Science Foundation of China (12071248) and the National Statistical Science Research Foundation of China (2020LZ26). Tao Hu's research was supported by the Beijing Natural Science Foundation (Z210003) and National Nature Science Foundation of China (12171328, 11971064). Tiejun Tong's research was supported by the Initiation Grant for Faculty Niche Research Areas (RC-FNRA-IG/20-21/SCI/03), the General Research Fund (HKBU12303421), and the National Natural Science Foundation of China (1207010822).",1070-5511
Los Angeles Department of Water and Power,,1991,,,,,0,10.1029/91GB02475,,"Oxburgh, Rachel; Broecker, Wallace S.; Wanninkhof, Richard H.",THE CARBON BUDGET OF MONO LAKE,GLOBAL BIOGEOCHEMICAL CYCLES,Columbia University,"Discussions with Taro Takahashi and helpful comments from Dieter Imboden have served to improve and clarify this paper. Support was provided by the Los Angeles Department of Water and Power, grant DWPCLA CU00550901. Lamont-Doherty Geological Observatory contribution 4836.",0886-6236
Smart Power India; Rockefeller Foundation,,2020,,,,,0,10.1016/j.energy.2020.118544,,"Agrawal, Shalu; Harish, S. P.; Mahajan, Aseem; Thomas, Daniel; Urpelainen, Johannes",Influence of improved supply on household electricity consumption - Evidence from rural India,ENERGY,William & Mary; Harvard University; Columbia University; Johns Hopkins University,"We thank Abhishek Jain, Debajit Palit and Michael Aklin for excellent comments on this paper. We gratefully acknowledge Smart Power India and the Rockefeller Foundation for funding this research.",0360-5442
Smart Power India Foundation; Rockefeller Foundation,,2020,,,,,0,10.1016/j.eneco.2020.104697,,"Thomas, Daniel Robert; Agrawal, Shalu; Harish, S. P.; Mahajan, Aseem; Urpelainen, Johannes",Understanding segmentation in rural electricity markets: Evidence from India,ENERGY ECONOMICS,Columbia University; William & Mary; Harvard University; Johns Hopkins University,We thank Ryan Kennedy and Joseph Sutherland for excellent comments. We gratefully acknowledge Smart Power India Foundation and Rockefeller Foundation for funding and partnership.,0140-9883
Electric Power Research Institute,,2016,,,,,0,10.1007/s11869-015-0335-6,,"Schachter, E. Neil; Moshier, Erin; Habre, Rima; Rohr, Annette; Godbold, James; Nath, Amit; Grunin, Avi; Coull, Brent; Koutrakis, Petros; Kattan, Meyer",Outdoor air pollution and health effects in urban children with moderate to severe asthma,AIR QUALITY ATMOSPHERE AND HEALTH,Icahn School of Medicine at Mount Sinai; Harvard University; Harvard T.H. Chan School of Public Health; Electric Power Research Institute (EPRI); Columbia University; Harvard Vanguard Medical Associates,"This study was supported by the Electric Power Research Institute (EP-P15909/C7932). The authors would like to thank Tom Gentile, George O'Connor, and Lance Wallace, members of the CAPAS study scientific advisory committee, for their guidance in all phases of the study. Steve Ferguson and Mike Wolfson are also acknowledged for designing the air sampling monitors and conducting laboratory analyses. We thank Dr. Fred Moshary of CCNY for sharing his facilities. The authors would also like to thank all the individuals who participated in this study.",1873-9318
Stanley Foundation; UC San Diego; Electric Power Research Institute; Norwegian Research Foundation,,2017,,,,,0,10.1007/s10584-015-1507-y,,"Sabel, Charles F.; Victor, David G.",Governing global problems under uncertainty: making bottom-up climate policy work,CLIMATIC CHANGE,Columbia University; University of California System; University of California San Diego,"We thank Bob Keohane, Nat Keohane, Scott Barrett, Michael Oppenheimer, Dick Stewart, Tana Johnson, Johannes Urpelainen, Bryce Rudyk, Jim Bacchus, Steve Charnovitz, Alan Alexandroff, Joanne Scott, Detlef Sprinz, Dustin Tingley, Rory O'Donnell and Jonathan Zeitlin for comments on a draft. Bob, Grainne de Burca, and Rick Locke organized an exceptionally helpful seminar at the Watson Institute of Brown University on experimentalist governance in November 2014 out of which this paper emerged and thanks to participants at a Princeton University seminar in June 2015. Special thanks to Linda Wong and Jackson Salovaara for extraordinary research assistance. Thanks also to Jen Smyser and Todd Edwards for related conversations. Chuck Sabel and David Victor acknowledge support from the Stanley Foundation. David Victor is also supported by UC San Diego, Electric Power Research Institute, and the Norwegian Research Foundation.",0165-0009
Korea Electric Power Corporation Research Institute (KEPCO-RI) of Korea,,2018,,,,,0,10.1016/j.compstruct.2018.02.068,,"Lee, Su-Jin; Kawashima, Shiho; Kim, Ki-Joong; Woo, Sang-Kyun; Won, Jong-Pil",Interfacial properties of nanosilica-treated structural polymer fibres in cement matrix composites,COMPOSITE STRUCTURES,Columbia University; Korea Electric Power Corporation (KEPCO); Konkuk University,"This research program was funded by Korea Electric Power Corporation Research Institute (KEPCO-RI) of Korea, and its kind support is gratefully acknowledged.",0263-8223
Korea Electric Power Corporation Research Institute (KEPCO-RI) of Korea,,2018,,,,,0,10.1016/j.compstruct.2018.03.003,,"Lee, Su-Jin; Kawashima, Shiho; Kim, Ki-Joong; Woo, Sang-Kyun; Won, Jong-Pil",Shrinkage characteristics and strength recovery of nanomaterials-cement composites,COMPOSITE STRUCTURES,Columbia University; Korea Electric Power Corporation (KEPCO); Konkuk University,"This research program was funded by Korea Electric Power Corporation Research Institute (KEPCO-RI) of Korea, and its kind support is gratefully acknowledged.",0263-8223
Electric Power Research Institute; EPRI(Egyptian Petroleum Research Institute (EPRI)),,2014,,,,,0,10.1007/s11869-013-0230-y,,"Rohr, Annette C.; Habre, Rima; Godbold, James; Moshier, Erin; Schachter, Neil; Kattan, Meyer; Grunin, Avi; Nath, Amit; Coull, Brent; Koutrakis, Petros",Asthma exacerbation is associated with particulate matter source factors in children in New York City,AIR QUALITY ATMOSPHERE AND HEALTH,Electric Power Research Institute (EPRI); Harvard University; Harvard T.H. Chan School of Public Health; Icahn School of Medicine at Mount Sinai; Columbia University; Electric Power Research Institute (EPRI),"This study was supported by the Electric Power Research Institute (EP-P15909/C7932). We would like to thank Tom Gentile, George O'Connor, and Lance Wallace for participating in the project Scientific Advisory Committee and for their valuable guidance during the course of this research. Dr. Rohr is employed by the Electric Power Research Institute, which is primarily supported by the electric industry in the USA and abroad. EPRI is an independent nonprofit 501(c)(3) organization that funds external research at a number of universities and institutes worldwide. Other authors declare no other conflicts of interest, personal, financial, or otherwise, with the material presented in the manuscript.",1873-9318
"DARPA Microsystems Technology Office under the Power Efficiency Revolution for Embedded Computing Technologies program; Air Force Research Laboratory; Freedom Photonics, Inc., under DOE SBIR Phase II",,2018,,,,,0,10.1109/JLT.2017.2781131,,"Bahadori, Meisam; Gazman, Alexander; Janosik, Natalie; Rumley, Sebastien; Zhu, Ziyi; Polster, Robert; Cheng, Qixiang; Bergman, Keren",Thermal Rectification of Integrated Microheaters for Microring Resonators in Silicon Photonics Platform,JOURNAL OF LIGHTWAVE TECHNOLOGY,Columbia University,"This work was supported in part by the DARPA Microsystems Technology Office under the Power Efficiency Revolution for Embedded Computing Technologies program, in part by the Air Force Research Laboratory under Agreement FA8650-15-2-5220, and in part by the Freedom Photonics, Inc., under DOE SBIR Phase II Subcontract CU 16-0418.",0733-8724
IEEE Power and Energy Society,,2021,,,,,0,10.1109/TEC.2021.3076279,,"Dragicevic, Tomislav; Parisio, Alessandra; Rodriguez, Jose; Jones, Colin N.; Quevedo, Daniel E.; Ferrarini, Luca; Preindl, Matthias; Shafiee, Qobad; Morstyn, Thomas",Guest Editorial Model Predictive Control in Energy Conversion Systems,IEEE TRANSACTIONS ON ENERGY CONVERSION,Technical University of Denmark; University of Manchester; Universidad Andres Bello; Swiss Federal Institutes of Technology Domain; Ecole Polytechnique Federale de Lausanne; University of Paderborn; Polytechnic University of Milan; Columbia University; University of Kurdistan; University of Oxford,"The Guest Editor-in-Chief and Guest Associate Editors gratefully acknowledge the IEEE Power and Energy Society for the support received and specifically thank the contributions of authors and anonymous reviewers. In addition, the editorial team in charge of the SS is grateful to Prof. A. Tessarolo, the Editor-inChief of the IEEE TRANSACTIONS ON ENERGY CONVERSION, as well as the journal administrator, Ms. R. Scholnick-Philippidis, and Prof. Bikash C. Pal, Vice President for Publications of the IEEE Power and Energy Society, for their guidance and timely assistance.",0885-8969
State Key Laboratory of Power Transmission Equipment & System Security and New Technology (Chongqing University),,2013,,,,,0,10.7227/IJEEE.50.4.2,,"Tao, Jinsong; Wen, Xishan; Song, Jingzhe",Design and assessment of a virtual platform for impulse voltage tests,INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,Wuhan University; Chongqing University; Columbia University,This paper is supported by Visiting Scholarship of State Key Laboratory of Power Transmission Equipment & System Security and New Technology (Chongqing University) (2007DA10512711412).,0020-7209
"Japan Science and Technology Agency CREST program, A Power Management Framework for Post Peta-Scale Supercomputers",,2016,,,,,0,10.1587/transinf.2016PAP0026,,"He, Yuan; Kondo, Masaaki; Nakada, Takashi; Sasaki, Hiroshi; Miwa, Shinobu; Nakamura, Hiroshi",A Runtime Optimization Selection Framework to Realize Energy Efficient Networks-on-Chip,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,University of Tokyo; Columbia University; University of Electro-Communications - Japan,"This work was, in part, supported by the Japan Science and Technology Agency CREST program, A Power Management Framework for Post Peta-Scale Supercomputers.",1745-1361
Electric Power Research Institute; Harvard School of Public Health Dean's Scholarship,,2014,,,,,0,10.1038/jes.2013.74,,"Habre, Rima; Coull, Brent; Moshier, Erin; Godbold, James; Grunin, Avi; Nath, Amit; Castro, William; Schachter, Neil; Rohr, Annette; Kattan, Meyer; Spengler, John; Koutrakis, Petros",Sources of indoor air pollution in New York City residences of asthmatic children,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Harvard University; Harvard T.H. Chan School of Public Health; Harvard University; Harvard T.H. Chan School of Public Health; Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; Electric Power Research Institute (EPRI); Columbia University,"This study was supported by the Electric Power Research Institute (EP-P15909/C7932). Rima Habre was supported by the Harvard School of Public Health Dean's Scholarship. We thank Tom Gentile, George O'Connor and Lance Wallace, members of the CAPAS study scientific advisory committee, for their guidance in all phases of the study. Steve Ferguson and Mike Wolfson are also acknowledged for designing the air sampling monitors and conducting laboratory analyses. We also thank all the individuals who participated in this study.",1559-0631
Electric Power Research Institute; Harvard School of Public Health Dean's Scholarship,,2014,,,,,0,10.1038/jes.2014.21,,"Habre, Rima; Moshier, Erin; Castro, William; Nath, Amit; Grunin, Avi; Rohr, Annette; Godbold, James; Schachter, Neil; Kattan, Meyer; Coull, Brent; Koutrakis, Petros",The effects of PM2.5 and its components from indoor and outdoor sources on cough and wheeze symptoms in asthmatic children,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,Harvard University; Harvard T.H. Chan School of Public Health; University of Southern California; Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; Icahn School of Medicine at Mount Sinai; Electric Power Research Institute (EPRI); Columbia University; Harvard University; Harvard T.H. Chan School of Public Health,"This study was supported by the Electric Power Research Institute (EP-P15909/C7932). R Habre was supported by the Harvard School of Public Health Dean's Scholarship. We thank Tom Gentile, George O'Connor and Lance Wallace, members of the CAPAS study scientific advisory committee, for their guidance in all phases of the study. Stephen Ferguson and Mike Wolfson are also acknowledged for designing the air sampling monitors and conducting laboratory analyses. We also thank all the individuals who participated in this study.",1559-0631
National Science Foundation(National Science Foundation (NSF)); Shanghai University of Electric Power; Science and Technology Commission of Shanghai Municipality(Science & Technology Commission of Shanghai Municipality (STCSM)),,2020,,,,,0,10.1021/acs.nanolett.0c00198,,"Fu, Tianren; Zang, Yaping; Zou, Qi; Nuckolls, Colin; Venkataraman, Latha",Using Deep Learning to Identify Molecular Junction Characteristics,NANO LETTERS,Columbia University; Columbia University; Shanghai University of Electric Power,"We acknowledge financial support from the National Science Foundation under award grant CHE-1764256 and DMR1807580. Q.Z. acknowledges financial support from the Shanghai University of Electric Power, the Science and Technology Commission of Shanghai Municipality (14DZ2261000).",1530-6984
